MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Specific,Common,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Madhu Kora,Elected,18-May-09,In office,Jharkhand,Singhbhum,Independent,Male,Graduate,"Educated at Ignou, Bhubneshwar, Orrisa",41,10,0,52,27%,Complete attendance for this MP is not available," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,25.9,0.8,186,66%
Madhusudan Yadav,Elected,18-May-09,In office,Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary; Educated at Higher Secondary School, Rajnandgaon, Chattisgarh",42,10,0,86,37%,Complete attendance for this MP is not available," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,9.6,0.3,121,64%
Magunta Srinivasulu Reddy,Elected,18-May-09,In office,Andhra Pradesh,Ongole,Indian National Congress,Male,Graduate,"B.Com; Educated at V.R. College, Nellore, Andhra Pradesh",58,3,0,633,58%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Mahabal Mishra,Elected,18-May-09,In office,Delhi,West Delhi,Indian National Congress,Male,Inter/ Higher Secondary,Intermediate (Science); Educated at L.S. College Muzaffarpur,59,28,0,248,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.5,4.3,227,96%
Mahabali Singh,Elected,18-May-09,In office,Bihar,Karakat,Janata Dal (United),Male,Under Matric,"High School, Bhagwanpur, Distt. Kaimur",57,16,0,40,90%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Mahadeo Singh Khandela,Elected,18-May-09,In office,Rajasthan,Sikar,Indian National Congress,Male,Post Graduate,"M.A. (Eco.); Educated at University of Rajasthan, Jaipur",68,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mahendra Kumar Roy,Elected,18-May-09,In office,West Bengal,Jalpaiguri,Communist Party of India (Marxist),Male,Graduate,"B.A., B.Ed.; Educated at A.C. College, Jalpaiguri, A.C. Training college, Jalpaiguri",56,31,0,133,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Mahendrasinh Pruthvisinh Chauhan,Elected,18-May-09,In office,Gujarat,Sabarkantha,Bharatiya Janata Party,Male,Graduate,"B.S.A.M., LL.B.; Educated at Akhadanand Ayurvedic Medical College, Jamnagar Ayurvedic University and Law College, Modasa, Gujarat University, Ahmedabad",58,121,10,533,99%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Mahesh Joshi,Elected,18-May-09,In office,Rajasthan,Jaipur,Indian National Congress,Male,Doctorate,"M.A., (P.G. Diploma in Journalism); Educated at University of Rajasthan",57,10,0,287,95%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Maheshwar Hazari,Elected,18-May-09,In office,Bihar,Samastipur,Janata Dal (United),Male,Graduate,"B.A.; Educated at V.R.V. College, Samastipur, Bihar",49,30,0,323,93%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Makhansingh Solanki,Elected,18-May-09,In office,Madhya Pradesh,Khargone,Bharatiya Janata Party,Male,Under Matric,,60,8,0,90,84%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Mallikarjun Kharge,Elected,18-May-09,In office,Karnataka,Gulbarga,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at Karnataka University, Karnataka",70,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mallipudi Raju Pallam Mangapati,Elected,18-May-09,In office,Andhra Pradesh,Kakinada,Indian National Congress,Male,Post Graduate,"B.E., M.B.A., F.I.E.T.E.; Educated at Andhra University, Visakhapatnam, India and Temple University, Philadelphia, USA",50,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mamata Banerjee,Elected,18-May-09,09-10-2011,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Female,Post Graduate,"M.A., B.Ed., LL.B., Trained in Work Education, Educated at Calcutta University, West Bengal",57,N/A,N/A,N/A,N/A,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maneka Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Aonla,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",56,6,1,214,74%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Mangani Lal Mandal,Elected,18-May-09,In office,Bihar,Jhanjharpur,Janata Dal (United),Male,Post Graduate,"M.Com.; Educated at R.K. College, Madhubani (Bihar) and C.M. College, Darbhanga, Bihar University, Muzaffarpur (now Babasaheb Bhimrao Ambedkar Bihar University) ",64,42,0,224,96%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Manicka Tagore,Elected,18-May-09,In office,Tamil Nadu,Virudhunagar,Indian National Congress,Male,Graduate,"B.A., L.L.B.; Educated at Bangalore University",37,23,0,282,90%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Manikrao Hodlya Gavit,Elected,18-May-09,In office,Maharashtra,Nandurbar,Indian National Congress,Male,Matric,,77,8,0,149,89%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Manish Tewari,Elected,18-May-09,In office,Punjab,Ludhiana,Indian National Congress,Male,Graduate,"B.A. (Hons.) Economics, LL.B; Educated at Punjab University, Chandigarh and University of Delhi, New Delhi",46,37,6,310,89%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,19,0.6,127,78%
